[07-Dec-2015 16:45:23 UTC] PHP Fatal error:  Call to undefined function wp_foot() in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/index.php on line 58
[07-Dec-2015 17:25:37 UTC] PHP Parse error:  syntax error, unexpected '{' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/functions.php on line 49
[07-Dec-2015 17:25:48 UTC] PHP Parse error:  syntax error, unexpected '{' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/functions.php on line 50
[07-Dec-2015 17:25:49 UTC] PHP Parse error:  syntax error, unexpected '{' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/functions.php on line 50
[07-Dec-2015 17:41:20 UTC] PHP Fatal error:  Call to undefined function blog_info() in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/header.php on line 10
[07-Dec-2015 17:41:21 UTC] PHP Fatal error:  Call to undefined function blog_info() in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/header.php on line 10
[07-Dec-2015 17:41:29 UTC] PHP Fatal error:  Call to undefined function blog_info() in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/header.php on line 10
[07-Dec-2015 17:41:30 UTC] PHP Fatal error:  Call to undefined function blog_info() in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/header.php on line 10
[08-Dec-2015 00:12:45 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/update.php on line 122
[08-Dec-2015 15:32:05 UTC] PHP Parse error:  syntax error, unexpected end of file in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/front-page.php on line 33
[08-Dec-2015 16:20:39 UTC] PHP Parse error:  syntax error, unexpected ']' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/functions.php on line 73
